CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
366	366	0.0	1.0	1.0	1.0	-1	
369	369	0.0	1.0	1.0	1.0	-1	
370	370	0.0	1.0	1.0	1.0	-1	
374	374	0.0	1.0	1.0	1.0	-1	
375	375	0.0	1.0	1.0	1.0	-1	
376	376	0.0	1.0	1.0	1.0	-1	
377	377	0.0	1.0	1.0	1.0	-1	
378	378	0.0	1.0	1.0	1.0	-1	
379	379	0.0	1.0	1.0	1.0	-1	
380	380	0.0	1.0	1.0	1.0	-1	
383	383	0.0	1.0	1.0	1.0	-1	
385	385	0.0	1.0	1.0	1.0	-1	
390	390	0.0	1.0	1.0	1.0	-1	
395	395	0.0	1.0	1.0	1.0	-1	
397	397	0.0	1.0	1.0	1.0	-1	
398	398	0.0	1.0	1.0	1.0	-1	
399	399	0.0	1.0	1.0	1.0	-1	
401	401	0.0	1.0	1.0	1.0	-1	
405	405	0.0	1.0	1.0	1.0	-1	
406	406	0.0	1.0	1.0	1.0	-1	
413	413	0.0	1.0	1.0	1.0	-1	
415	415	0.0	1.0	1.0	1.0	-1	
416	416	0.0	1.0	1.0	1.0	-1	
417	417	0.0	1.0	1.0	1.0	-1	
419	419	0.0	1.0	1.0	1.0	-1	
420	420	0.0	1.0	1.0	1.0	-1	
422	422	0.0	1.0	1.0	1.0	-1	
426	426	0.0	1.0	1.0	1.0	-1	
428	428	0.0	1.0	1.0	1.0	-1	
429	429	0.0	1.0	1.0	1.0	-1	
430	430	0.0	1.0	1.0	1.0	-1	
431	431	0.0	1.0	1.0	1.0	-1	
432	432	0.0	1.0	1.0	1.0	-1	
435	435	0.0	1.0	1.0	1.0	-1	
436	436	0.0	1.0	1.0	1.0	-1	
437	437	0.0	1.0	1.0	1.0	-1	
439	439	0.0	1.0	1.0	1.0	-1	
442	442	0.0	1.0	1.0	1.0	-1	
445	445	0.0	1.0	1.0	1.0	-1	
450	450	0.0	1.0	1.0	1.0	-1	
451	451	0.0	1.0	1.0	1.0	-1	
452	452	0.0	1.0	1.0	1.0	-1	
454	454	0.0	1.0	1.0	1.0	-1	
456	456	0.0	1.0	1.0	1.0	-1	
457	457	0.0	1.0	1.0	1.0	-1	
458	458	0.0	1.0	1.0	1.0	-1	
462	462	0.0	1.0	1.0	1.0	-1	
463	463	0.0	1.0	1.0	1.0	-1	
464	464	0.0	1.0	1.0	1.0	-1	
465	465	0.0	1.0	1.0	1.0	-1	
468	468	0.0	1.0	1.0	1.0	-1	
471	471	0.0	1.0	1.0	1.0	-1	
473	473	0.0	1.0	1.0	1.0	-1	
475	475	0.0	1.0	1.0	1.0	-1	
476	476	0.0	1.0	1.0	1.0	-1	
481	481	0.0	1.0	1.0	1.0	-1	
484	484	0.0	1.0	1.0	1.0	-1	
487	487	0.0	1.0	1.0	1.0	-1	
489	489	0.0	1.0	1.0	1.0	-1	
492	492	0.0	1.0	1.0	1.0	-1	
495	495	0.0	1.0	1.0	1.0	-1	
498	498	0.0	1.0	1.0	1.0	-1	
501	501	0.0	1.0	1.0	1.0	-1	
502	502	0.0	1.0	1.0	1.0	-1	
503	503	0.0	1.0	1.0	1.0	-1	
504	504	0.0	1.0	1.0	1.0	-1	
505	505	0.0	1.0	1.0	1.0	-1	
506	506	0.0	1.0	1.0	1.0	-1	
508	508	0.0	1.0	1.0	1.0	-1	
509	509	0.0	1.0	1.0	1.0	-1	
511	511	0.0	1.0	1.0	1.0	-1	
514	514	0.0	1.0	1.0	1.0	-1	
517	517	0.0	1.0	1.0	1.0	-1	
518	518	0.0	1.0	1.0	1.0	-1	
519	519	0.0	1.0	1.0	1.0	-1	
520	520	0.0	1.0	1.0	1.0	-1	
521	521	0.0	1.0	1.0	1.0	-1	
522	522	0.0	1.0	1.0	1.0	-1	
523	523	0.0	1.0	1.0	1.0	-1	
524	524	0.0	1.0	1.0	1.0	-1	
525	525	0.0	1.0	1.0	1.0	-1	
526	526	0.0	1.0	1.0	1.0	-1	
528	528	0.0	1.0	1.0	1.0	-1	
531	531	0.0	1.0	1.0	1.0	-1	
