row ID,row m/z,row retention time,Af-T,Af-L,Af-F,Af-B,Ah-L,Ahv-T,Ah-T,Ah-F,Ahv-F,Ahv-T,Ahv-L,Aj-B,Aj-L,Aj-T,Aj-F
29,709.4539,17.388,46571.45585,66588.63719,7133.23957,29066.61834,50.29882904,82.08,0,0,42.735,147.08,3959.133593,973.5945845,476.0622046,135.1503125,33.81
30,431.1903,3.6684,13600.1075,52909.54359,2014.743906,19374.42802,19408.57538,98182.27447,160091.0775,468.2035048,4662.474867,43868.39681,66331.13917,58792.23758,33086.78135,45070.98756,11258.89544
31,587.3047,25.8738,18353.86354,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,435.1279,5.9198,30822.02949,7030.407382,927.4734068,16513.85379,189.2165,1252.979,608.2830436,68.863,278.3773669,1812.557035,105.8621135,2852.978057,1974.906386,4846.475847,232.2930206
33,133.0112,0.8715,22099.56525,9422.69542,3566.358253,17338.07252,16824.795,1768.278,11221.71074,1108.133055,1650.879,4422.539657,3551.865963,443.2382781,1003.3375,11173.48271,18164.0073
34,482.0403,3.4947,13477.67881,5236.886,4232.557661,76501.0148,76.221,62.216,40.862,945.0362933,8754.587385,27.081,582.3973297,27.794,1934.020701,62.513,19.116
35,491.2113,6.4347,9784.181,5831.532247,3728.059741,15690.6241,161.112,83.31274275,1210.678177,69.875,65.1175,0,117.3489336,4750.354632,454.4635974,2204.513221,679.8135981
36,353.0848,2.9775,10634.58966,15014.51316,1207.883365,14392.06037,50977.69819,524.4047181,511.7373384,73.073,356.3115,2289.545,15158.24286,282.0039902,1545.494107,1171.866469,623.5775173
37,329.231,8.5422,14054.83082,11896.49497,2532.005296,23343.80236,16371.9689,9259.221609,6317.917473,2458.27875,196.813,5603.362386,8452.160101,9396.548231,4101.869512,10541.27184,11164.67394
38,371.1173,0.8108,25268.75639,10945.24592,799.179,15966.50974,10859.54089,4298.486188,4272.05808,57.414,8637.536617,9051.374948,6972.222001,3140.684633,6865.604803,9365.794102,3809.85338
39,481.0609,0.8674,16679.83669,11397.22077,61768.45205,19593.02877,38.93,369.608,512.9079739,13563.00834,127753.6434,47.175,14340.11313,301.3006017,18008.51056,863.2185343,0
40,503.1772,5.4517,24572.50713,4397.010259,3322.486846,8260.076534,5187.237316,3644.140746,7847.107385,37.513,430.066998,3438.665314,574.815811,13241.9936,9896.83617,12638.34067,818.6858939
41,431.3156,20.1717,20091.25336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,377.1783,5.2486,23086.13374,3467.91581,1209.555502,7771.166764,515.288174,829.8431237,1144.048,0,331.4702898,8490.408158,1402.161256,496.42,860.1560852,3802.455406,1214.565868
