"shared name","IDs","cor"," p_value","Af-T","Af-L","Af-F","Af-B","Ah-L","Ahv-T","Ah-T","Ah-F","Ahv-F","Ahv-T.1","Ahv-L","Aj-B","Aj-L","Aj-T","Aj-F"
"49","681.2968_18.5431","-0.233463276357401","0.402356011932536","2.623648e-03","3.125743e-03","7.127447e-03","1.958640e-03","1.611523e-03","1.855615e-03","1.833417e-07","8.033670e-05","4.534616e-03","2.970690e-03","7.846260e-03","6.671670e-03","3.340551e-03","4.566623e-03","4.758948e-03"
"50","471.3464_21.4964","0.0479085687187846","0.865365724388402","4.166023e-03","1.046714e-04","1.783894e-04","3.487330e-03","4.651336e-04","6.757719e-04","2.144823e-05","1.425871e-03","1.132767e-04","7.436643e-04","2.313456e-04","5.350125e-03","1.475816e-03","1.742309e-03","1.531966e-03"
"51","315.1582_6.5355","0.123403823918301","0.661271036291211","1.783910e-03","4.722441e-05","4.447774e-04","1.768223e-03","1.210399e-04","4.326815e-04","2.469865e-03","1.445639e-04","7.833078e-04","3.540095e-03","1.266465e-04","1.690924e-03","7.035936e-05","1.109350e-03","4.522732e-06"
"52","315.0698_1.9734","0.0370324189534866","0.895754116975129","0.0031607226","0.0015891913","0.0005659653","0.0013986329","0.0015719071","0.0012486980","0.0042745466","0.0002621558","0.0013913974","0.0022164914","0.0006753445","0.0017622530","0.0003836876","0.0022329714","0.0002740718"
"53","605.405_17.112","-0.559098435616323","0.0302526140845283","2.432622e-03","2.454140e-03","5.246747e-07","1.629567e-03","2.572132e-07","1.626212e-07","1.833417e-07","5.256262e-07","2.068202e-07","1.830873e-07","2.868456e-07","2.182555e-07","2.198751e-07","1.609595e-07","1.807972e-07"
"54","341.1071_0.7927","-0.171782449567017","0.54042490156552","0.0034514591","0.0042187201","0.0010093473","0.0045229521","0.0043087820","0.0019076214","0.0017443826","0.0017806678","0.0004659685","0.0017827848","0.0012555200","0.0013491627","0.0005622980","0.0014347647","0.0003346746"
"55","305.064_2.0916","-0.461518519827364","0.0833239291930843","5.147404e-03","2.466484e-07","5.246747e-07","5.230880e-03","2.572132e-07","1.626212e-07","1.833417e-07","5.256262e-07","2.068202e-07","1.830873e-07","2.868456e-07","2.182555e-07","2.198751e-07","1.609595e-07","1.807972e-07"
"56","513.3582_15.6741","-0.409021226541032","0.130066219866832","2.183995e-03","5.262155e-05","5.165110e-04","2.248832e-03","1.185342e-05","3.923357e-04","5.164667e-05","1.280005e-05","5.718991e-06","7.276270e-04","4.987958e-06","2.090724e-04","7.124173e-06","3.905333e-05","9.679881e-06"
"57","272.9557_0.6774","-0.781290253171605","0.000583061652219716","1.495024e-03","1.876832e-03","2.756964e-03","2.559967e-03","1.755196e-03","1.841054e-04","3.151650e-04","3.307010e-04","1.094988e-03","2.227949e-04","1.650405e-03","8.461376e-05","2.796540e-03","5.651229e-04","3.940458e-05"
"58","517.3904_19.8135","-0.599630369709085","0.0181398624708157","1.958461e-03","3.029761e-04","1.058023e-03","1.026448e-03","2.572132e-07","8.334338e-06","1.055682e-05","1.977931e-05","2.155827e-05","1.278773e-05","2.075615e-05","6.395978e-05","2.207613e-05","1.232331e-05","1.106479e-05"
"59","179.053_0.7901","-0.571756806558269","0.0259580368888116","0.0035223712","0.0087296270","0.0035231385","0.0088322650","0.0038501609","0.0022061713","0.0027264756","0.0008064019","0.0030151005","0.0012255923","0.0034549658","0.0021190968","0.0021073901","0.0036273426","0.0013337975"
"60","433.0587_1.6796","-0.0744523175437102","0.792009517402828","1.676690e-03","6.299627e-04","1.278896e-03","2.494525e-03","1.675436e-03","1.146689e-04","7.379979e-04","1.840652e-03","2.747456e-05","5.781116e-04","7.092159e-04","1.035102e-04","1.847393e-04","2.745483e-04","2.079873e-03"
"61","633.0738_3.5159","-0.453227891458087","0.0897593288040406","1.854740e-03","2.460668e-03","1.167727e-02","2.695282e-03","1.243091e-04","1.025442e-04","1.836901e-05","5.761793e-03","9.610050e-03","3.597299e-06","8.364838e-03","7.883608e-06","3.672912e-02","1.406466e-04","8.849660e-06"
"62","129.0161_1.4023","-0.403208012973543","0.136154142301067","0.0037945655","0.0015020830","0.0013090218","0.0007940800","0.0010246297","0.0004298399","0.0005798837","0.0012478551","0.0009154207","0.0011453510","0.0012868031","0.0005919347","0.0004022522","0.0006742283","0.0008195177"
"63","461.2169_7.1399","-0.376845830138367","0.166179350925919","1.886159e-03","4.584103e-05","1.469001e-04","5.916811e-03","9.240908e-04","8.511017e-04","4.680659e-04","2.700693e-05","1.123703e-03","1.037874e-03","4.477403e-03","9.442136e-04","6.110953e-04","9.628868e-04","6.816153e-05"
"64","721.3655_12.5143","0.039027956126201","0.890167228671466","1.196275e-03","6.396534e-03","1.452893e-04","1.837153e-03","1.727699e-02","5.715194e-04","2.800945e-03","3.685480e-05","1.123479e-03","1.743517e-03","8.394146e-03","5.704712e-05","4.337676e-03","1.434749e-03","1.626578e-03"
"65","523.2173_5.4668","0.0540742167127443","0.848213493012979","2.975573e-03","8.041835e-05","1.589014e-04","2.731051e-03","1.705159e-04","3.374684e-03","1.517813e-03","3.526741e-05","1.267535e-04","1.088504e-03","8.729109e-04","2.771304e-03","5.959066e-05","8.201160e-04","3.748198e-05"
"66","761.3583_18.8296","-0.565535137150751","0.0280067728889486","1.757919e-03","2.157402e-03","3.581954e-05","2.480997e-03","1.474346e-05","1.626212e-07","1.833417e-07","5.256262e-07","2.068202e-07","4.239386e-06","1.022605e-05","4.482431e-05","1.727778e-05","1.609595e-07","1.525928e-05"
"67","111.0056_1.6734","0.210998841391603","0.450332544358862","0.0015793163","0.0011073046","0.0025884034","0.0014951083","0.0028630387","0.0003579880","0.0012540599","0.0037527197","0.0001609890","0.0013186908","0.0014407017","0.0006899606","0.0005045772","0.0008008396","0.0024232495"
"68","567.2077_5.369","-0.0119369198210049","0.966321950418941","2.185427e-03","2.081572e-04","1.482108e-04","2.050232e-03","1.191649e-03","2.777691e-03","1.071337e-03","1.250764e-04","3.562603e-04","1.717383e-03","2.163106e-03","6.667143e-04","1.748885e-04","3.933107e-04","3.111266e-05"
"69","603.4057_18.6511","0.460518900239496","0.0840819223543677","1.822488e-03","1.171932e-04","9.310089e-05","7.739847e-04","1.359592e-03","4.876098e-03","1.260833e-02","7.636201e-05","2.700266e-04","1.034539e-02","3.389405e-04","8.718472e-03","8.179683e-05","2.970430e-03","7.675583e-05"
"70","627.2081_6.5904","-0.454687297373352","0.0886018193983688","1.724907e-03","6.222815e-06","2.772381e-05","3.323417e-03","2.012308e-05","3.560714e-05","2.066879e-05","2.106289e-05","1.226843e-04","6.562214e-05","3.461380e-05","2.081525e-05","2.131768e-04","4.116532e-05","9.243618e-06"
"71","491.1897_5.2373","0.434653501604495","0.105436713540208","2.480452e-03","1.440513e-05","2.029756e-05","1.926592e-03","6.766014e-04","5.812299e-03","4.174258e-03","6.305887e-05","7.444316e-04","7.770347e-03","7.855989e-04","4.780266e-03","4.051214e-04","1.959646e-03","3.677993e-05"
"72","723.3826_13.5063","0.143785463246448","0.609185058815694","1.732239e-03","2.536785e-03","1.745794e-04","2.817563e-03","8.361745e-03","1.352193e-03","5.184038e-03","5.256262e-07","2.091917e-04","4.308266e-03","2.927280e-03","7.596024e-04","3.537021e-03","1.637813e-03","2.018056e-04"
"73","317.0466_1.4055","-0.2829480269781","0.306846569187197","3.115956e-03","1.347854e-03","5.422021e-04","7.331843e-04","1.150707e-03","2.813678e-04","4.310031e-04","7.434830e-04","5.632844e-04","8.350552e-04","5.998073e-04","1.026417e-04","5.993086e-05","7.784428e-04","7.712807e-04"
"74","256.8435_26.0991","0.263707460588798","0.342270559415686","2.095101e-03","4.921435e-03","4.979671e-04","1.992177e-03","4.519482e-03","2.584815e-03","1.090883e-06","1.015385e-02","2.995965e-03","1.394119e-03","4.495350e-03","3.228533e-03","2.380142e-03","2.869976e-03","3.460225e-03"
"75","665.4274_18.6443","-0.578495425374529","0.0238694618172203","2.206813e-03","1.164878e-04","1.243987e-03","1.688360e-03","1.587520e-05","1.626212e-07","1.833417e-07","9.448954e-05","2.068202e-07","1.830873e-07","1.534050e-05","4.151766e-05","1.217228e-05","1.693177e-05","8.601426e-06"
"76","830.4812_20.7488","-0.322727867167221","0.240711442175377","2.746764e-03","2.466484e-07","4.588017e-05","3.036880e-05","2.572132e-07","6.098296e-06","1.833417e-07","3.543772e-05","2.068202e-07","2.422611e-05","1.236448e-05","6.263934e-06","1.337720e-05","1.609595e-07","1.807972e-07"
"77","459.3485_20.5628","-0.317739069335973","0.248476094265855","2.164397e-03","2.466484e-07","5.246747e-07","2.416936e-07","2.572132e-07","1.626212e-07","1.833417e-07","5.256262e-07","2.068202e-07","1.830873e-07","2.868456e-07","2.182555e-07","2.198751e-07","1.609595e-07","1.807972e-07"
"78","405.1398_2.5077","-0.25299073695276","0.362954110047271","3.126330e-03","1.917964e-04","2.641213e-04","3.220916e-03","1.178345e-05","8.837240e-04","1.018046e-03","2.771075e-05","5.783053e-05","7.080944e-04","1.214504e-05","1.507470e-03","7.977948e-06","6.585580e-04","5.453963e-05"
"79","679.387_13.1752","-0.33444844120114","0.223067066991486","1.333369e-03","2.395930e-05","9.832577e-05","2.141642e-03","3.533467e-06","2.252149e-04","3.234313e-05","1.318665e-05","2.068202e-07","7.522487e-04","1.050228e-05","1.546895e-04","1.608056e-05","5.763861e-05","4.374026e-06"
"80","513.2543_4.9099","-0.51175135772019","0.0511724521734924","1.459635e-03","3.442539e-04","2.311708e-04","8.188480e-04","3.044298e-05","3.519675e-05","4.694830e-04","5.256262e-07","1.291282e-05","1.113903e-05","3.011052e-05","2.376539e-05","1.144406e-05","8.041399e-05","3.288466e-05"
