CLUSTERID1	interact	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	SharedMotifs	topX
257	cosine	257	0	1	1	1	-1	motif_88	NA
258	cosine	258	0	1	1	1	-1	motif_72	NA
259	cosine	259	0	1	1	1	-1	motif_16	NA
260	cosine	260	0	1	1	1	-1	motif_70,motif_72	NA
261	cosine	261	0	1	1	1	-1	motif_72,motif_93	NA
265	cosine	265	0	1	1	1	-1	motif_49,motif_97	NA
268	cosine	268	0	1	1	1	-1	motif_82	NA
269	cosine	269	0	1	1	1	-1		NA
270	cosine	270	0	1	1	1	-1	motif_32	NA
271	cosine	271	0	1	1	1	-1	motif_72	NA
276	cosine	276	0	1	1	1	-1	motif_66	NA
280	cosine	280	0	1	1	1	-1	motif_30,motif_67,motif_94	NA
285	cosine	285	0	1	1	1	-1	motif_60	NA
286	cosine	286	0	1	1	1	-1	motif_46,motif_95	NA
287	cosine	287	0	1	1	1	-1	motif_34,motif_7	NA
288	cosine	288	0	1	1	1	-1	motif_55,motif_97	NA
289	cosine	289	0	1	1	1	-1	motif_25	NA
293	cosine	293	0	1	1	1	-1	motif_41,motif_46	NA
294	cosine	294	0	1	1	1	-1	motif_49,motif_64,motif_70	NA
295	cosine	295	0	1	1	1	-1	motif_3,motif_95	NA
296	cosine	296	0	1	1	1	-1		NA
297	cosine	297	0	1	1	1	-1	motif_95	NA
298	cosine	298	0	1	1	1	-1	motif_11,motif_78	NA
299	cosine	299	0	1	1	1	-1	motif_46	NA
300	cosine	300	0	1	1	1	-1	motif_93	NA
301	cosine	301	0	1	1	1	-1	motif_78,motif_98	NA
302	cosine	302	0	1	1	1	-1	motif_3,motif_49,motif_93	NA
304	cosine	304	0	1	1	1	-1	motif_39,motif_49,motif_66,motif_72	NA
305	cosine	305	0	1	1	1	-1	motif_14	NA
306	cosine	306	0	1	1	1	-1	motif_39,motif_46	NA
307	cosine	307	0	1	1	1	-1	motif_41,motif_78	NA
309	cosine	309	0	1	1	1	-1	motif_46	NA
310	cosine	310	0	1	1	1	-1	motif_63,motif_68	NA
311	cosine	311	0	1	1	1	-1	motif_36	NA
314	cosine	314	0	1	1	1	-1	motif_26	NA
315	cosine	315	0	1	1	1	-1	motif_22	NA
316	cosine	316	0	1	1	1	-1	motif_52,motif_78	NA
317	cosine	317	0	1	1	1	-1	motif_38	NA
318	cosine	318	0	1	1	1	-1	motif_39,motif_71	NA
319	cosine	319	0	1	1	1	-1	motif_46,motif_54	NA
320	cosine	320	0	1	1	1	-1	motif_51	NA
327	cosine	327	0	1	1	1	-1	motif_63	NA
330	cosine	330	0	1	1	1	-1	motif_42,motif_55	NA
331	cosine	331	0	1	1	1	-1	motif_60	NA
332	cosine	332	0	1	1	1	-1	motif_61	NA
333	cosine	333	0	1	1	1	-1		NA
334	cosine	334	0	1	1	1	-1	motif_59,motif_77	NA
335	cosine	335	0	1	1	1	-1	motif_49	NA
337	cosine	337	0	1	1	1	-1	motif_13,motif_49	NA
338	cosine	338	0	1	1	1	-1	motif_77	NA
340	cosine	340	0	1	1	1	-1	motif_66	NA
342	cosine	342	0	1	1	1	-1	motif_52,motif_77	NA
343	cosine	343	0	1	1	1	-1	motif_78	NA
345	cosine	345	0	1	1	1	-1	motif_67,motif_70	NA
346	cosine	346	0	1	1	1	-1	motif_50	NA
347	cosine	347	0	1	1	1	-1	motif_28,motif_77	NA
348	cosine	348	0	1	1	1	-1	motif_73	NA
349	cosine	349	0	1	1	1	-1	motif_57	NA
357	cosine	357	0	1	1	1	-1	motif_41,motif_64	NA
362	cosine	362	0	1	1	1	-1	motif_74	NA
363	cosine	363	0	1	1	1	-1	motif_16	NA
366	cosine	366	0	1	1	1	-1	motif_2,motif_64	NA
369	cosine	369	0	1	1	1	-1	motif_88	NA
370	cosine	370	0	1	1	1	-1	motif_16	NA
374	cosine	374	0	1	1	1	-1	motif_4,motif_49	NA
375	cosine	375	0	1	1	1	-1	motif_55,motif_95	NA
376	cosine	376	0	1	1	1	-1		NA
377	cosine	377	0	1	1	1	-1	motif_67	NA
378	cosine	378	0	1	1	1	-1	motif_58,motif_79	NA
379	cosine	379	0	1	1	1	-1	motif_12,motif_61	NA
380	cosine	380	0	1	1	1	-1	motif_82	NA
383	cosine	383	0	1	1	1	-1	motif_49,motif_64	NA
385	cosine	385	0	1	1	1	-1	motif_58,motif_79	NA
390	cosine	390	0	1	1	1	-1	motif_84	NA
395	cosine	395	0	1	1	1	-1	motif_34	NA
397	cosine	397	0	1	1	1	-1	motif_47	NA
398	cosine	398	0	1	1	1	-1	motif_56	NA
399	cosine	399	0	1	1	1	-1	motif_52	NA
401	cosine	401	0	1	1	1	-1	motif_45	NA
405	cosine	405	0	1	1	1	-1	motif_96	NA
406	cosine	406	0	1	1	1	-1	motif_11	NA
413	cosine	413	0	1	1	1	-1	motif_40	NA
415	cosine	415	0	1	1	1	-1	motif_20	NA
416	cosine	416	0	1	1	1	-1	motif_2,motif_71	NA
417	cosine	417	0	1	1	1	-1	motif_50	NA
419	cosine	419	0	1	1	1	-1		NA
420	cosine	420	0	1	1	1	-1	motif_12	NA
422	cosine	422	0	1	1	1	-1	motif_88	NA
426	cosine	426	0	1	1	1	-1	motif_63	NA
428	cosine	428	0	1	1	1	-1	motif_46,motif_49	NA
429	cosine	429	0	1	1	1	-1	motif_39	NA
430	cosine	430	0	1	1	1	-1	motif_67	NA
431	cosine	431	0	1	1	1	-1	motif_76	NA
432	cosine	432	0	1	1	1	-1	motif_34	NA
435	cosine	435	0	1	1	1	-1	motif_13,motif_49,motif_69	NA
436	cosine	436	0	1	1	1	-1	motif_55	NA
437	cosine	437	0	1	1	1	-1	motif_42	NA
439	cosine	439	0	1	1	1	-1	motif_79	NA
442	cosine	442	0	1	1	1	-1	motif_48	NA
445	cosine	445	0	1	1	1	-1	motif_28	NA
450	cosine	450	0	1	1	1	-1	motif_24	NA
451	cosine	451	0	1	1	1	-1	motif_1,motif_12	NA
452	cosine	452	0	1	1	1	-1	motif_29,motif_64,motif_79	NA
454	cosine	454	0	1	1	1	-1	motif_67	NA
456	cosine	456	0	1	1	1	-1	motif_57	NA
457	cosine	457	0	1	1	1	-1	motif_96	NA
458	cosine	458	0	1	1	1	-1	motif_59	NA
462	cosine	462	0	1	1	1	-1	motif_16,motif_55	NA
463	cosine	463	0	1	1	1	-1	motif_3,motif_72	NA
464	cosine	464	0	1	1	1	-1	motif_19,motif_46	NA
465	cosine	465	0	1	1	1	-1	motif_95	NA
468	cosine	468	0	1	1	1	-1	motif_24	NA
471	cosine	471	0	1	1	1	-1	motif_20,motif_71,motif_79	NA
473	cosine	473	0	1	1	1	-1	motif_15,motif_90	NA
475	cosine	475	0	1	1	1	-1	motif_51	NA
476	cosine	476	0	1	1	1	-1	motif_45	NA
481	cosine	481	0	1	1	1	-1	motif_17,motif_41,motif_46	NA
484	cosine	484	0	1	1	1	-1	motif_12	NA
487	cosine	487	0	1	1	1	-1	motif_99	NA
489	cosine	489	0	1	1	1	-1	motif_67,motif_94	NA
492	cosine	492	0	1	1	1	-1	motif_24,motif_94	NA
495	cosine	495	0	1	1	1	-1	motif_19	NA
498	cosine	498	0	1	1	1	-1		NA
501	cosine	501	0	1	1	1	-1	motif_63	NA
502	cosine	502	0	1	1	1	-1	motif_6	NA
503	cosine	503	0	1	1	1	-1	motif_65	NA
504	cosine	504	0	1	1	1	-1	motif_91	NA
505	cosine	505	0	1	1	1	-1	motif_53	NA
506	cosine	506	0	1	1	1	-1	motif_33	NA
508	cosine	508	0	1	1	1	-1	motif_35	NA
509	cosine	509	0	1	1	1	-1	motif_91	NA
511	cosine	511	0	1	1	1	-1	motif_22	NA
514	cosine	514	0	1	1	1	-1	motif_44	NA
517	cosine	517	0	1	1	1	-1	motif_31	NA
518	cosine	518	0	1	1	1	-1	motif_87	NA
519	cosine	519	0	1	1	1	-1	motif_23	NA
520	cosine	520	0	1	1	1	-1	motif_33	NA
521	cosine	521	0	1	1	1	-1	motif_77,motif_85	NA
522	cosine	522	0	1	1	1	-1	motif_55	NA
523	cosine	523	0	1	1	1	-1	motif_75	NA
524	cosine	524	0	1	1	1	-1	motif_44,motif_46	NA
525	cosine	525	0	1	1	1	-1		NA
526	cosine	526	0	1	1	1	-1		NA
528	cosine	528	0	1	1	1	-1	motif_2,motif_49	NA
531	cosine	531	0	1	1	1	-1		NA
2	motif_83	2	0	1	1	1	-1	motif_83	NA
3	motif_57	3	0	1	1	1	-1	motif_57	NA
5	motif_39	5	0	1	1	1	-1	motif_39	NA
6	motif_63	6	0	1	1	1	-1	motif_63	NA
10	motif_3	10	0	1	1	1	-1	motif_3,motif_77	NA
10	motif_77	10	0	1	1	1	-1	motif_3,motif_77	NA
15	motif_18	15	0	1	1	1	-1	motif_18	NA
18	motif_10	18	0	1	1	1	-1	motif_10	NA
23	motif_6	23	0	1	1	1	-1	motif_6	NA
25	motif_44	25	0	1	1	1	-1	motif_44	NA
26	motif_95	26	0	1	1	1	-1	motif_95	NA
27	motif_79	27	0	1	1	1	-1	motif_79	NA
28	motif_77	28	0	1	1	1	-1	motif_77,motif_99	NA
28	motif_99	28	0	1	1	1	-1	motif_77,motif_99	NA
30	motif_19	30	0	1	1	1	-1	motif_19,motif_39,motif_49	NA
30	motif_39	30	0	1	1	1	-1	motif_19,motif_39,motif_49	NA
30	motif_49	30	0	1	1	1	-1	motif_19,motif_39,motif_49	NA
31	motif_38	31	0	1	1	1	-1	motif_38	NA
32	motif_29	32	0	1	1	1	-1	motif_29,motif_84,motif_9	NA
32	motif_84	32	0	1	1	1	-1	motif_29,motif_84,motif_9	NA
32	motif_9	32	0	1	1	1	-1	motif_29,motif_84,motif_9	NA
35	motif_39	35	0	1	1	1	-1	motif_39	NA
37	motif_40	37	0	1	1	1	-1	motif_40	NA
40	motif_57	40	0	1	1	1	-1	motif_57	NA
42	motif_35	42	0	1	1	1	-1	motif_35	NA
43	motif_7	43	0	1	1	1	-1	motif_7	NA
44	motif_49	44	0	1	1	1	-1	motif_49	NA
46	motif_15	46	0	1	1	1	-1	motif_15	NA
47	motif_84	47	0	1	1	1	-1	motif_84,motif_91	NA
47	motif_91	47	0	1	1	1	-1	motif_84,motif_91	NA
48	motif_49	48	0	1	1	1	-1	motif_49	NA
49	motif_47	49	0	1	1	1	-1	motif_47	NA
51	motif_10	51	0	1	1	1	-1	motif_10	NA
53	motif_0	53	0	1	1	1	-1	motif_0	NA
54	motif_2	54	0	1	1	1	-1	motif_2,motif_29,motif_49	NA
54	motif_29	54	0	1	1	1	-1	motif_2,motif_29,motif_49	NA
54	motif_49	54	0	1	1	1	-1	motif_2,motif_29,motif_49	NA
55	motif_21	55	0	1	1	1	-1	motif_21	NA
57	motif_25	57	0	1	1	1	-1	motif_25	NA
58	motif_68	58	0	1	1	1	-1	motif_68	NA
59	motif_54	59	0	1	1	1	-1	motif_54	NA
60	motif_18	60	0	1	1	1	-1	motif_18	NA
62	motif_65	62	0	1	1	1	-1	motif_65	NA
66	motif_48	66	0	1	1	1	-1	motif_48	NA
70	motif_96	70	0	1	1	1	-1	motif_96	NA
73	motif_43	73	0	1	1	1	-1	motif_43	NA
74	motif_10	74	0	1	1	1	-1	motif_10	NA
75	motif_32	75	0	1	1	1	-1	motif_32	NA
76	motif_78	76	0	1	1	1	-1	motif_78	NA
78	motif_49	78	0	1	1	1	-1	motif_49,motif_52	NA
78	motif_52	78	0	1	1	1	-1	motif_49,motif_52	NA
80	motif_39	80	0	1	1	1	-1	motif_39,motif_91	NA
80	motif_91	80	0	1	1	1	-1	motif_39,motif_91	NA
86	motif_49	86	0	1	1	1	-1	motif_49	NA
87	motif_92	87	0	1	1	1	-1	motif_92	NA
88	motif_78	88	0	1	1	1	-1	motif_78	NA
93	motif_10	93	0	1	1	1	-1	motif_10,motif_52	NA
93	motif_52	93	0	1	1	1	-1	motif_10,motif_52	NA
98	motif_43	98	0	1	1	1	-1	motif_43	NA
99	motif_46	99	0	1	1	1	-1	motif_46,motif_96	NA
99	motif_96	99	0	1	1	1	-1	motif_46,motif_96	NA
100	motif_80	100	0	1	1	1	-1	motif_80	NA
101	motif_17	101	0	1	1	1	-1	motif_17	NA
103	motif_59	103	0	1	1	1	-1	motif_59	NA
104	motif_28	104	0	1	1	1	-1	motif_28	NA
105	motif_21	105	0	1	1	1	-1	motif_21	NA
106	motif_49	106	0	1	1	1	-1	motif_49	NA
107	motif_80	107	0	1	1	1	-1	motif_80	NA
115	motif_38	115	0	1	1	1	-1	motif_38	NA
116	motif_29	116	0	1	1	1	-1	motif_29,motif_39,motif_8	NA
116	motif_39	116	0	1	1	1	-1	motif_29,motif_39,motif_8	NA
116	motif_8	116	0	1	1	1	-1	motif_29,motif_39,motif_8	NA
118	motif_49	118	0	1	1	1	-1	motif_49,motif_86	NA
118	motif_86	118	0	1	1	1	-1	motif_49,motif_86	NA
120	motif_17	120	0	1	1	1	-1	motif_17	NA
123	motif_79	123	0	1	1	1	-1	motif_79	NA
124	motif_85	124	0	1	1	1	-1	motif_85	NA
125	motif_3	125	0	1	1	1	-1	motif_3	NA
128	motif_39	128	0	1	1	1	-1	motif_39,motif_49	NA
128	motif_49	128	0	1	1	1	-1	motif_39,motif_49	NA
130	motif_39	130	0	1	1	1	-1	motif_39,motif_4	NA
130	motif_4	130	0	1	1	1	-1	motif_39,motif_4	NA
134	motif_26	134	0	1	1	1	-1	motif_26	NA
136	motif_1	136	0	1	1	1	-1	motif_1	NA
137	motif_64	137	0	1	1	1	-1	motif_64	NA
138	motif_39	138	0	1	1	1	-1	motif_39	NA
142	motif_58	142	0	1	1	1	-1	motif_58,motif_76	NA
142	motif_76	142	0	1	1	1	-1	motif_58,motif_76	NA
143	motif_63	143	0	1	1	1	-1	motif_63	NA
144	motif_62	144	0	1	1	1	-1	motif_62	NA
145	motif_18	145	0	1	1	1	-1	motif_18	NA
154	motif_4	154	0	1	1	1	-1	motif_4	NA
160	motif_94	160	0	1	1	1	-1	motif_94	NA
161	motif_89	161	0	1	1	1	-1	motif_89	NA
163	motif_89	163	0	1	1	1	-1	motif_89	NA
164	motif_31	164	0	1	1	1	-1	motif_31	NA
165	motif_79	165	0	1	1	1	-1	motif_79	NA
166	motif_54	166	0	1	1	1	-1	motif_54	NA
167	motif_58	167	0	1	1	1	-1	motif_58,motif_79	NA
167	motif_79	167	0	1	1	1	-1	motif_58,motif_79	NA
168	motif_63	168	0	1	1	1	-1	motif_63,motif_78	NA
168	motif_78	168	0	1	1	1	-1	motif_63,motif_78	NA
169	motif_5	169	0	1	1	1	-1	motif_5	NA
171	motif_37	171	0	1	1	1	-1	motif_37	NA
172	motif_73	172	0	1	1	1	-1	motif_73	NA
174	motif_42	174	0	1	1	1	-1	motif_42	NA
177	motif_72	177	0	1	1	1	-1	motif_72,motif_83,motif_84	NA
177	motif_83	177	0	1	1	1	-1	motif_72,motif_83,motif_84	NA
177	motif_84	177	0	1	1	1	-1	motif_72,motif_83,motif_84	NA
182	motif_67	182	0	1	1	1	-1	motif_67,motif_77	NA
182	motif_77	182	0	1	1	1	-1	motif_67,motif_77	NA
183	motif_77	183	0	1	1	1	-1	motif_77,motif_94	NA
183	motif_94	183	0	1	1	1	-1	motif_77,motif_94	NA
185	motif_14	185	0	1	1	1	-1	motif_14,motif_39,motif_49,motif_77	NA
185	motif_39	185	0	1	1	1	-1	motif_14,motif_39,motif_49,motif_77	NA
185	motif_49	185	0	1	1	1	-1	motif_14,motif_39,motif_49,motif_77	NA
185	motif_77	185	0	1	1	1	-1	motif_14,motif_39,motif_49,motif_77	NA
186	motif_83	186	0	1	1	1	-1	motif_83	NA
192	motif_18	192	0	1	1	1	-1	motif_18	NA
193	motif_97	193	0	1	1	1	-1	motif_97	NA
194	motif_61	194	0	1	1	1	-1	motif_61	NA
198	motif_82	198	0	1	1	1	-1	motif_82	NA
201	motif_3	201	0	1	1	1	-1	motif_3,motif_34	NA
201	motif_34	201	0	1	1	1	-1	motif_3,motif_34	NA
204	motif_85	204	0	1	1	1	-1	motif_85	NA
209	motif_78	209	0	1	1	1	-1	motif_78	NA
210	motif_6	210	0	1	1	1	-1	motif_6	NA
212	motif_2	212	0	1	1	1	-1	motif_2,motif_39	NA
212	motif_39	212	0	1	1	1	-1	motif_2,motif_39	NA
222	motif_1	222	0	1	1	1	-1	motif_1	NA
223	motif_46	223	0	1	1	1	-1	motif_46	NA
224	motif_21	224	0	1	1	1	-1	motif_21,motif_3	NA
224	motif_3	224	0	1	1	1	-1	motif_21,motif_3	NA
225	motif_78	225	0	1	1	1	-1	motif_78,motif_82	NA
225	motif_82	225	0	1	1	1	-1	motif_78,motif_82	NA
227	motif_49	227	0	1	1	1	-1	motif_49	NA
230	motif_98	230	0	1	1	1	-1	motif_98	NA
231	motif_84	231	0	1	1	1	-1	motif_84	NA
232	motif_31	232	0	1	1	1	-1	motif_31	NA
236	motif_11	236	0	1	1	1	-1	motif_11,motif_41	NA
236	motif_41	236	0	1	1	1	-1	motif_11,motif_41	NA
237	motif_32	237	0	1	1	1	-1	motif_32	NA
252	motif_49	252	0	1	1	1	-1	motif_49,motif_57,motif_97	NA
252	motif_57	252	0	1	1	1	-1	motif_49,motif_57,motif_97	NA
252	motif_97	252	0	1	1	1	-1	motif_49,motif_57,motif_97	NA
253	motif_6	253	0	1	1	1	-1	motif_6	NA
254	motif_41	254	0	1	1	1	-1	motif_41,motif_72	NA
254	motif_72	254	0	1	1	1	-1	motif_41,motif_72	NA
257	motif_88	257	0	1	1	1	-1	motif_88	NA
258	motif_72	258	0	1	1	1	-1	motif_72	NA
259	motif_16	259	0	1	1	1	-1	motif_16	NA
260	motif_70	260	0	1	1	1	-1	motif_70,motif_72	NA
260	motif_72	260	0	1	1	1	-1	motif_70,motif_72	NA
261	motif_72	261	0	1	1	1	-1	motif_72,motif_93	NA
261	motif_93	261	0	1	1	1	-1	motif_72,motif_93	NA
265	motif_49	265	0	1	1	1	-1	motif_49,motif_97	NA
265	motif_97	265	0	1	1	1	-1	motif_49,motif_97	NA
268	motif_82	268	0	1	1	1	-1	motif_82	NA
270	motif_32	270	0	1	1	1	-1	motif_32	NA
271	motif_72	271	0	1	1	1	-1	motif_72	NA
276	motif_66	276	0	1	1	1	-1	motif_66	NA
280	motif_30	280	0	1	1	1	-1	motif_30,motif_67,motif_94	NA
280	motif_67	280	0	1	1	1	-1	motif_30,motif_67,motif_94	NA
280	motif_94	280	0	1	1	1	-1	motif_30,motif_67,motif_94	NA
285	motif_60	285	0	1	1	1	-1	motif_60	NA
286	motif_46	286	0	1	1	1	-1	motif_46,motif_95	NA
286	motif_95	286	0	1	1	1	-1	motif_46,motif_95	NA
287	motif_34	287	0	1	1	1	-1	motif_34,motif_7	NA
287	motif_7	287	0	1	1	1	-1	motif_34,motif_7	NA
288	motif_55	288	0	1	1	1	-1	motif_55,motif_97	NA
288	motif_97	288	0	1	1	1	-1	motif_55,motif_97	NA
289	motif_25	289	0	1	1	1	-1	motif_25	NA
293	motif_41	293	0	1	1	1	-1	motif_41,motif_46	NA
293	motif_46	293	0	1	1	1	-1	motif_41,motif_46	NA
294	motif_49	294	0	1	1	1	-1	motif_49,motif_64,motif_70	NA
294	motif_64	294	0	1	1	1	-1	motif_49,motif_64,motif_70	NA
294	motif_70	294	0	1	1	1	-1	motif_49,motif_64,motif_70	NA
295	motif_3	295	0	1	1	1	-1	motif_3,motif_95	NA
295	motif_95	295	0	1	1	1	-1	motif_3,motif_95	NA
297	motif_95	297	0	1	1	1	-1	motif_95	NA
298	motif_11	298	0	1	1	1	-1	motif_11,motif_78	NA
298	motif_78	298	0	1	1	1	-1	motif_11,motif_78	NA
299	motif_46	299	0	1	1	1	-1	motif_46	NA
300	motif_93	300	0	1	1	1	-1	motif_93	NA
301	motif_78	301	0	1	1	1	-1	motif_78,motif_98	NA
301	motif_98	301	0	1	1	1	-1	motif_78,motif_98	NA
302	motif_3	302	0	1	1	1	-1	motif_3,motif_49,motif_93	NA
302	motif_49	302	0	1	1	1	-1	motif_3,motif_49,motif_93	NA
302	motif_93	302	0	1	1	1	-1	motif_3,motif_49,motif_93	NA
304	motif_39	304	0	1	1	1	-1	motif_39,motif_49,motif_66,motif_72	NA
304	motif_49	304	0	1	1	1	-1	motif_39,motif_49,motif_66,motif_72	NA
304	motif_66	304	0	1	1	1	-1	motif_39,motif_49,motif_66,motif_72	NA
304	motif_72	304	0	1	1	1	-1	motif_39,motif_49,motif_66,motif_72	NA
305	motif_14	305	0	1	1	1	-1	motif_14	NA
306	motif_39	306	0	1	1	1	-1	motif_39,motif_46	NA
306	motif_46	306	0	1	1	1	-1	motif_39,motif_46	NA
