,SMILES
143,[C@]123[C@]([C@@H]([C@@H]([C@H]([C@H]1OC(=O)C)C(O2)(C)C)OC(=O)c1ccccc1)OC(=O)C)([C@H]([C@H](C[C@H]3C)O)OC(=O)c1ccccc1)COC(=O)C
144,[C@@]123[C@]4(C2)[C@H](C([C@H](CC4)O)(C)C)CC[C@H]1[C@]1([C@](CC3)([C@H](CC1)[C@@H](CC/C=C(/C(=O)O)\CO)C)C)C
145,[C@@]12([C@]3(C(=O)O[C@@]([C@@H]1CC3)(/C=C/C=C(/C(=O)OC[C@@H](CO)O)\C)C)CC=C(CC2)C(=O)OC)O
146,COc1cc(ccc1OC1C(C(C(CO1)O)O)O)C1C(CO)c2cc(CCCO)cc(c2O1)OC
147,Cc1ccc(cc1)S(=O)(=O)N(C)C[C@H]1[C@H](C)CN([C@@H](C)CO)S(=O)(=O)c2ccc(cc2O1)Br
148,CC(=CC/C=C(\C)/C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3C(CC21C)OC1C(C(C(C(COC(=O)C)O1)O)O)O)O)O)C
149,CCc1ccc(cc1)OC(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F
150,[C@]12(C3=C([C@]4([C@](CC3)([C@H](CC4)[C@@H](CC[C@H](C(O)(C)C)O)C)C)C)CC[C@H]1C([C@H]([C@@H](C2)OC(=O)C[C@](CC(=O)O)(O)C)O)(C)C)C
151,c1cc(cnc1)CNC(=O)[C@H]1C[C@H]([C@@H]([C@H]2[C@@H]1SC(=N2)Nc1ccc(cc1)Cl)O)O
152,CC=Cc1ccc2[C@H]3[C@H]([C@H](CO)[C@@H](Cn2c1=O)N3C(=O)c1ccccn1)C(=NC1CCC1)O
153,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
154,c1ccc2c(c1)CCc1ccccc1N2NC(=O)c1ccccc1Cl
155,C=C(CO)C1CCC2(C)CCC3(C(CCC4C5(C)CCC(C(C)(C)C5CCC34C)O)C12)C(=O)O
156,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)O)(CO)CO)C)CC[C@@H]1[C@H]1[C@](CC2)(C(=O)OC)CC[C@H]([C@]1(O)C)C)C)C
157,c1(c(cc(cc1OC)[C@H]([C@H](Oc1c(cc(cc1)/C=C/CO)OC)CO)O)OC)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
158,C=C(CO)C1CCC2(CCC3(C)C(CCC4C5(C)CCC(C(C)(C)C5CCC34C)OC(=O)/C=C/c3ccc(c(c3)O)O)C12)CO
159,C(CC(=O)[O-])[C@@H](C(=O)O)N=C(CN=C([C@H](CC(=O)[O-])N)O)[O-]
160,CC(C)[C@@H](C(=O)NCC(=O)[O-])NC(=O)c1cc2c(n1C)cc(cc2OC)OC
161,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)OC(=O)/C=C/c3cc(c(cc3)O)O)(CO)C)C)CC=C1[C@@H]1[C@](CC2)(C(=O)O)CCC(C1)(C)C)C)C
162,CC(=NCCc1c2c3c(ccnc3c3c1SCC(=N3)O)c1ccc(cc1[nH]2)Br)O
163,CCOCCOC(=O)NCCOC(=O)Nc1ccccc1
164,C1CC1C(=O)NC[C@@H]1[C@H]([C@H]([C@@H](O1)CC(=O)NC1CC1)O)O
165,c1(c(c(c(c(c1)CC=C(C)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)CC=C(C)C)[C@@H](OC(=O)C[C@](CC(=O)O)(O)C)C(=O)O
166,[C@@H]12[C@@]3([C@H]([C@@]([C@H]([C@H](C3)O)O)(C(=O)O)C)CC[C@]1(C1=C(CC2)[C@H]2[C@](CC1)(C(=O)OCC)CCC(C2)(C)C)C)C
167,C=C(CCC(C1C(CC2(C)C3=C(CCC12C)C1(C)CCC(C(C)(C)C1CC3)OC(=O)C)O)C(=O)O)C(C)(C)O
168,[C@@H]12[C@@]3([C@H](C[C@@H]([C@]1([C@H]([C@@H](C1=C([C@H](C[C@@]([C@H]2OC(=O)C)(C1(C)C)O)OC(=O)C)C)OC(=O)C)O)C)OC(=O)C)OC(=O)C)OC3
169,CC(=CC/C=C(\C)/C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3C(CC21C)O)OC1C(C(C(C(CO)O1)O)O)O)O)C
170,[C@@]12([C@H]3[C@]([C@H]4C(=C[C@@H]3O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C([C@H](CC4)O)(C)C)(CC[C@@]1([C@H](CC2)[C@@H](C[C@H](C=C(C)C)O)C)C)C)C
171,c1ccc2c(c1)c1ccnc3c1c(c(CCN)c1c3N=C(CS1)O)[nH]2
172,CC(CC(C(C(C)(C)O)O)O)C1CCC23CC13CCC1C3(C)CCC(C(C)(C)C3CC(C21C)O)OC(=O)C
173,c12[C@@]3([C@H](C(CCC3)(C)C)CCc2c(c(c2c1[C@H](OC2=O)O)CO)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C
174,c12c3c(C(=O)O[C@@H]4[C@@H](OC(=O)c1cc(c(c2O)O)O)[C@H](O[C@@H]([C@H]4OC(=O)c1cc(c(c(c1)O)O)O)COC(=O)c1cc(c(c(c1)O)O)O)O)cc(c(c3O)O)O
175,CC(=O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O
176,COc1cc(ccc1[n+]1nc(c2ccccc2)nn1c1ccccc1)c1ccc(c(c1)OC)[n+]1nc(c2ccccc2)nn1c1ccccc1
177,c1(cc(c(cc1)O)O)/C=C\C(=O)OCCCCCCCCCCCCCCCCCCCCCCCC
178,CC(=O)OCC12C(C(CC(C)(C32C(C(C(C1OC(=O)c1ccccc1)OC(=O)c1ccccc1)C(C)(C)O3)OC(=O)C)O)O)OC(=O)C
179,[C@]123[C@]4(C1)[C@H](C([C@H](CC4)O)(C)C)CC[C@H]2[C@]1([C@@]([C@H](CC1)[C@@H](CC[C@H]1OC(OC1(C)C)(C)C)C)(CC3)C)C
180,c1cc(c(cc1/C=C/C(=O)c1c(cc(cc1O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O)O
181,[C@]12([C@@]([C@@H]([C@H]3[C@H]([C@@H]([C@](O3)(COC(=O)C)C)CC)O)C)([C@@H](C[C@H]1C1=CC[C@H]3[C@@]([C@H]1CC2)(CC[C@H](C3)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C)O)O)C
182,CC(C)CC(=O)C(C1=COC(C2C(=C)CC/C=C(\CCC12)/C(=O)OC)OC(=O)C)OC(=O)C
183,Cc1nc2cc(c(cc2c(=O)n1CC(=O)NCCc1nccs1)OC)OC
184,CC1CC(=O)C=C(C21C(=O)c1c(cc(c(c1O2)Cl)OC)OC)SC
185,[C@]123[C@]([C@@H]([C@@H]([C@H]([C@H]1OC(=O)C)C(O2)(C)C)OC(=O)c1ccccc1)OC(=O)c1ccccc1)([C@H]([C@H](C[C@H]3C)O)OC(=O)c1ccccc1)C
186,[C@]1([C@@H]([C@H](OC1)OC[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)O[C@H]1CCc2ccc(cc2)Oc2cc(CCCC1)ccc2O)O)O)O)O)(CO)O
187,[C@@]12([C@]([C@]3(C(=CC2)[C@H]2[C@](CC3)(C(=O)O)CCC(C2)(C)C)C)(CC[C@H]2[C@@]1(C[C@@H]([C@@H]([C@]2(C(=O)O)C)O)O)C)C)C
188,c1ccc(c(c1)CN1C[C@@H](C[C@H]1c1nc(no1)c1ccc(cc1)F)O)[N+](=O)[O-]
189,COc1c(cc2c3c4c(cc(c(c4oc2=O)OC2C(C(C(CO2)O)O)O)O)c(=O)oc13)O
190,[C@@H]1([C@H](C[C@@H](O[C@@H]1C)O[C@@H]1[C@H](O[C@H](C[C@H]1O)O[C@H]1[C@H](C[C@@H](O[C@@H]1C)O[C@H]1[C@@H](CC(=O)O[C@@H]1C)OC)OC)C)OC)O[C@H]1C[C@H]([C@@H]([C@H](O1)C)O)OC
191,C(C[C@@H](C(=O)O)N=C(CN=C(CN)O)O)CN=C(CP(=O)(O)O)O
192,[C@@]123[C@]4(C2)[C@H](C([C@H](CC4)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)C)O)O)O)(C)C)[C@H](C[C@H]1[C@]1([C@](CC3)([C@H]([C@H](C1)O)[C@@H](CC/C=C(/CO)\C)C)C)C)O
193,c12c(=O)c(c(oc1cc(cc2O)OC)c1cc(c(cc1)O)O)OC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O
194,[C@@]12(C3=CC[C@@]4([C@H]([C@]3(CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)OC(=O)/C=C\c1ccc(cc1)O)(C)C)C)C)CC(C[C@H]4O)(C)C)C)C
195,CSCCC[C@H]1C(=O)N(C(=O)N1)c1ccc2c(c1)O[C@@H](N2)c1ccncc1
196,C[C@@H]1CN([C@@H](C)CO)C(=O)CCCn2c(cnn2)CO[C@H]1CN(C)C(=O)c1ccc(cc1)N1CCN(C)CC1
197,c12c3c4c(c(cc3c(=O)oc1c(c(cc2c(=O)o4)O)OC)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O
198,CCC(C)C(=O)OC1C(C(C(C(C1O)OC(=O)C(C)C)O)OC(=O)C=C(C)C)O
199,C12=CCc3c(C1CCC1(C2CCC1=O)C)ccc(c3)OS(=O)(=O)O
200,[C@@]12([C@@]3([C@H]([C@@H](C[C@@H]1[C@@]([C@H]1O[C@H]4[C@@H](C1)C=CO4)(C(=C[C@@H]2OC(=O)C)C)C)O)OC(=O)C(OC(=O)C)(C)C)OC3)COC(=O)C
201,c12c3c(c(c(c2CC[C@@H]2[C@@]1(CCCC2(C)C)C)O)CO)C(=O)O[C@@H]3O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
202,CC(C)(C)C(=O)ON1CCC[C@H]1C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]
203,COc1cc(ccc1O)C(CC(c1cc(/C=C/CO[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)cc(c1O)OC)O)O
204,C/C=C(\CO)/C(=O)OC/C(=C\CO)/C(=O)OC1CC2(C)C(CCC(=C)C2C2C1C(=C)C(=O)O2)O
205,c12c3c(C(=O)OC[C@@H]4[C@H]([C@H](OC(=O)c1cc(c(c2O)O)OC(=O)c1cc(c(c(c1)O)O)O)[C@H]([C@@H](O4)OC(=O)c1cc(c(c(c1)O)O)O)O)O)cc(c(c3O)O)O
206,c1(c(c(=O)c2c(o1)cc(cc2O)O)O[C@@H]1[C@H]([C@@H]([C@H](O1)CO)OC(=O)C)O)c1cc(c(c(c1)O)O)O
207,C=CCNC(=O)O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2Nc1nccc(n1)c1cccs1
208,[C@]1([C@@H](/C(=C(\C=O)/C)/CC[C@@]1(O)C)CCCO)(CC/C=C(/CC/C=C(/C[C@@H]([C@@H]1C(O1)(C)C)O)\C)\C)C
209,C=C(C)C1CCC2(CCC3(C)C(CCC4C5(C)CC(C(C(C)(C)C5CCC34C)OC(=O)/C=C/c3ccc(c(c3)O)O)O)C12)C(=O)O
210,CC#C/C=C\1/C(c2cc(cc(c2C(=O)OC)OC)c2ccc(C)s2)O1
211,C1=C[C@@H](C[C@@H]1CO[C@H]1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)n1cnc2c(NC3CC3)[nH]c(=N)nc12
212,COc1cc(ccc1O)c1cc(=O)c2c(c(c(c(c2o1)O)O)C1C(C(C(C(CO)O1)O)O)O)O
213,c12c3c4c(c(cc3c(=O)oc1c(c(cc2c(=O)o4)O)OC)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O
214,CC(=O)OC[C@@]12[C@H]([C@H](C[C@]([C@]31[C@@H]([C@@H]([C@@H]([C@H]2OC(=O)c1ccccc1)OC(=O)c1ccccc1)C(O3)(C)C)O)(C)O)OC(=O)C)OC(=O)C
215,[C@@H]1([C@@H]([C@H]([C@@H](OC1)O[C@H]1CC[C@@]23[C@@H](C1(C)C)CC[C@@H]1[C@]2(CC[C@]2([C@]1([C@H]([C@]1([C@@H]2[C@@H]([C@H]([C@@H]([C@@H](C(C)(O)C)OC(=O)C)O1)O)C)O)O)C)C)C3)O)O)O
216,C=C(C)C1CCC2(CCC3(C)C(CCC4C5(C)CCC(C(C)(C5CCC34C)C(=O)O)O)C12)CO
217,Cc1ccc(cc1)c1cc(C#N)c(=O)n(c1)Cc1c(cccc1Cl)Cl
218,[C@]12([C@@]([C@H]([C@@H](C2)O)[C@H](C(=O)O)CCC(=C)C(C)C)(CCC2=C1CC[C@@H]1[C@@]2(CC[C@@H](C1(C)C)O)C)C)C
219,[C@@]123[C@]4(C2)[C@H]([C@@]([C@H](C[C@@H]4O)O)(C(=O)O)C)CC[C@H]1[C@]1([C@](CC3)([C@H](CC1)[C@@H]([C@@H](C[C@](C(C)C)(CO)O)O)C)C)C
220,C=C1C(C2C(C(C)(CC2(C(=O)C(C)C2C(C(C)(C)C(C(C1O)O)O)O2)O)O)O)O
221,C1[C@@H]([C@@]([C@H]2[C@]([C@H]1O)([C@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CC[C@@](C1)(C)C(=O)O)C)C)C)C)(C)CO[C@H]1[C@@H]([C@@H]([C@@H](OC(=O)C)[C@@H](O1)C)OC(=O)C)O)O
222,[C@]12([C@@H]3[C@H]([C@H]4[C@](CC3)([C@H](CC4)[C@@H](CC[C@@H](C(C)C)CC)C)C)C[C@@H]([C@H]1C[C@H](CC2)OC(=O)C)OC(=O)C)C
223,C[C@]12CC[C@@]3(CC[C@@]4(C(=CC[C@H]5[C@]4(C[C@@H]4CCC[C@]6([C@H]4[C@@]5(CC[C@@H]6O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)[O-])O)O)O)C)C)C)[C@@]3(C1)C=CC2)C)C(=O)[O-]
224,Cc1cc(c(c2c1C(=O)/C(=C/c1cc3cc(ccc3o1)Br)/O2)CN1CCOCC1)O
225,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC/C=C/c1ccc(cc1)O
226,COC(=O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@@H](C1)OC(=O)\C=C\C2=CC=C(O)C(O)=C2
227,Cn1c(c(cn1)N(=O)=O)C(=Nc1ccc(cc1)c1[nH]c2ccccc2n1)O
228,CC1(C)C2CC=C3C(CCC4(C)C(CCC34C)C(CC(=O)C(C(C)(C)O)O)C(OC)OC)C2(C)CCC1O
229,c12c(oc(c(c1=O)O)c1cc(c(cc1)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)C1=CC[C@@H](CC1)C(O)(C)C)O)O)O)O)cc(cc2O)O
230,C[C@@H]1C(=Cc2ccccc2O1)/C=C\1/C(=O)c2ccc(cc2O1)OCc1c(cccc1Cl)Cl
231,[C@@]12([C@]3([C@@H]([C@@]4([C@H](CC3)C([C@@H](CC4)O)(C)C)C)C[C@H]([C@@H]1[C@](CC2)([C@]1(O[C@H](CC1)C(O)(C)C)C)O)OC(=O)C)C)C
232,[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)Oc1c(cc(cc1)OC(=O)/C=C/c1cc(c(cc1)O)O)O
233,CCOC(=O)CCc1cc2ccoc2c(c1O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)OC1CCCCC1
234,[C@@]12([C@]3([C@@H]([C@]([C@@H](CC3)C(=C)C)(CCC(=O)O)C)C[C@H]([C@H]1[C@H](CC2)[C@](CCC(=C)C(C)C)(O)C)O[C@H]1[C@@H]([C@H]([C@@H](O1)CO)O)OC(=O)C)C)C
235,C[NH2+]C[C@@]1(CC[C@@H](C1)CCOCNC(=[NH2+])NC)Oc1cc(cc(c1O)NC(=[NH2+])NC)CC/C=C/C(=O)C1(CCCC1)Cc1ccc(c(c1)OC)O
236,[C@@]12([C@]3(C(=C[C@H]([C@@H]1[C@@]1([C@@H](CC2)C([C@@H]([C@@H](C1)O)O)(C)C)C)OC)[C@H]1[C@](CC3)(C(=O)O)CC[C@H]([C@@H]1C)C)C)C
237,c1(c(cc(cc1OC)/C=C/CO)OC)O[C@H]([C@@H](c1cc(c(cc1)O)OC)O)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
238,CCc1cc(c(N=C(N=C(C)O)S)s1)C(=O)OCC
239,CC(C)CCCC(C)C1CCC2C3C(CCC12C)C1(C)CCC(CC1(C(C3OC(=O)C)O)O)OC(=O)C
240,c1cc(c(cc1CC[C@@H](CC(=O)CCc1ccc(c(c1)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O
241,CC(CN=C(CCc1nnc(c2ccc(C)s2)o1)O)Oc1cccnc1
242,CCOC1=CC(=O)C(=c2c(c[nH]c(=N)[nH]2)Oc2ccccc2Br)C=C1
243,c12c(=O)c(c(oc1cc(cc2O)O)c1cc(c(cc1)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)OC)O)O
244,[C@@]12([C@H]3[C@]([C@H]4C(=C[C@@H]3OC)C([C@H](CC4)O)(C)C)(CC[C@@]1([C@H](CC2)[C@@H]([C@@H]([C@@H](O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C=C(C)C)O)C)C)C)C
245,CCCc1nc2c(cnn2c(n1)N(C)c1ccccc1)I
246,COc1ccc(cc1/C=C\1/C(=O)c2ccc(cc2O1)OCC(=O)OCc1ccccc1)Br
247,[C@H]1([C@@H]([C@@H]([C@H]([C@H](O1)CO)O)O)O)Oc1c(c(c(C(=O)/C=C/c2cc(c(cc2)O)O)cc1)O)O
248,CS(=O)(=O)N1C[C@@H]2C[C@H](C1)c1c(ccc(=O)n1C2)c1ccccc1F
249,[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)[C@@]([C@H](CC1)O)(C(=O)OC)C)C)[C@H]1[C@@](CC3)(CC[C@](C1)(CO)C)C(=O)O)C)C
250,Cc1ccn2cc([n+](c2c1)CC(=O)c1ccc(cc1)[N+](=O)[O-])C
251,[C@]12([C@@](C3=N/C/1=C(/C1=N/C(=C/c4c(c(c(/C=c/5\[nH]/c(=C\3)/c(c5CCC(=O)OC)CC(=O)OC)[nH]4)CCC(=O)OC)CC(=O)OC)/[C@]3([C@@]1(CC(=O)O3)C)CCC(=O)OC)\C)(CC(=O)O2)C)CCC(=O)OC
252,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)OC(=O)/C=C/c3cc(c(cc3)O)O)(C)C)C)CC[C@@H]1C1=CC(CC[C@@]1(CC2)C(=O)O)(C)C)C)C
253,c12c3c(C(=O)OC[C@@H]4[C@H]([C@H](OC(=O)c1cc(c(c2O)O)O)[C@H]([C@@H](O4)OC(=O)c1cc(c(c(c1)O)OC(=O)c1cc(c(c(c1)O)O)O)O)O)O)cc(c(c3O)O)O
254,[C@@H]1([C@H](Oc2c(cc(cc2OC)C[C@@H]2[C@@H]([C@H](OC2)c2cc(c(c(c2)OC)O)OC)CO)OC)O[C@@H]([C@H]([C@@H]1O)O)CO)O[C@H]1[C@@H]([C@](CO1)(CO)O)O
255,[C@@H]1([C@H]([C@@H]([C@@H]([C@@H](O1)CO)O)O)O)Oc1c([C@H](Cc2cc(c(cc2)O)OC)CO)cc(cc1OC)CCCO
256,c12c3c(C(=O)O[C@H]([C@@H](OC(=O)c1cc(c(c2O)O)O)[C@@H]1OC(=O)c2c(c4c(C(=O)OC[C@H]1O)cc(c(c4O)O)O)c(c(c(c2)O)O)O)C=O)cc(c(c3O)O)O
257,[C@@H]1([C@@H]([C@](Cc2c1cc(c(c2)OC)O)(CO)O)CO[C@H]1[C@H]([C@@H]([C@H]([C@@H](O1)CO)O)O)O)c1cc(c(cc1)O)OC
258,COc1ccc(cc1)c1ccnc(n1)N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1cccc(c1)OC
259,CCCCCCN1[C@@H]2C[C@@H]([C@H]3CO[C@@H]2O3)[C@@H](C1=O)[N+](=O)[O-]
260,[C@@]12([C@H]([C@]3([C@@H](C[C@H]1O2)[C@]1([C@]([C@H](C3)O)([C@H](CC1)[C@@H](CCC=C(C)C)C)C)C)C)CCCO)C(=O)C
261,CC(C)CCCC(C)C1CCC2C3C(CCC12C)C1(CCC(CC1=CC3O)O)COC(=O)C
262,CCCn1c2ccccc2c(c(C(=NCCc2ccc(cc2)Cl)O)c1=O)O
263,[C@@]12([C@]3([C@@H]([C@@H]4[C@](CC3)(C(=O)Oc3c(cc(cc3)C(=O)OC)OC)CC[C@H]4C(=C)C)CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)O)(C)C)C)C)C
264,c12c(c(=O)cc(o1)c1cc(c(cc1)O)O)c(cc(c2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)/C=C/c1ccccc1)O)O)O)O
265,CC(C)([C@H](C(=O)O)N)SSC(C)(C)[C@H](C(=O)O)N
266,CC(CCC(C(C)(C)O)O)C1CCC2(C)C3C(CC4C(C)(CO)C(C=CC54CC35CCC12C)O)O
267,c12c3c4c(c(cc3c(=O)oc1c(c(cc2c(=O)o4)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O
268,CC(CC(C(C(C)(C)O)O)O)C1CC=C2C1(C)CCC1C3(C)CCC(C(C)(C)C3CC(C21C)OC(=O)C)O
269,[C@]12([C@@]([C@H](CC2)[C@@H](CC[C@](C(C)C)(O)C)C)(CC=C2[C@H]1CC[C@@H]1[C@@]2(CC[C@H](C1(C)C)OC(=O)C)C)C)C
270,CC(C)CC[C@@H]1[C@@H]([C@@]2([C@H](CC[C@]3([C@@]2(C[C@@H]2[C@@H]3C3=CC(=O)O[C@H]3[C@@H](C2)[C@@H](Cc2ccccc2CO)[NH2+]C)O)C)[C@@]2([C@]1(C[C@H](CC2)O)O)C=O)O)O
271,[C@@]1(/C/2=C(\c3c(c(c([nH]3)/C=c\3/c(c(/c(=C/C4=N/C(=C/C(=N2)[C@@H]1CCC(=O)OC)/[C@]([C@@H]4CCC(=O)OC)(CC(=O)OC)C)/[nH]3)CC(=O)OC)CCC(=O)OC)CCC(=O)OC)CC(=O)OC)/C)(CC(=O)OC)C
272,COc1ccc2c(cc[nH+]c2c1)Nc1ccc(cc1)C(=O)N
273,CCCCCCCCCCCCCCCC(=O)OC1C(CC2=C(C1(CC=C(C)C)O)OC(C)(C)CC2=O)O
274,C1(=C[C@H]([C@H]([C@H](OC(=O)c2cc(c(c(c2)O)O)OC(=O)c2cc(c(c(c2)O)O)O)C1)O)O)C(=O)O
275,[C@H]1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)Oc1c(c2c(=O)cc(oc2cc1O)c1cc(c(cc1)O)O)O)C(=O)O
276,C/C(=C\C[C@H](/C=C(\C)/[C@H](C[C@@H]1C(=CCC(=O)C1(C)C)C)OC(=O)C)OC(=O)C)/CC[C@@H]1C(=C)CC[C@@H](C1(C)C)O[C@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O
277,[C@]1([C@H]2[C@@H](OC1=O)[C@H]1[C@@H]([C@](C[C@@H]2OC(=O)/C(=C/C)/C)(OC(=O)C)C)[C@H](C=C1C)O)(OC(=O)C)C
278,CC(C)C(=C)CCC(C1CC(C2(C)C3=C(CCC12C)C1(C)CCC(C(C)(C)C1CC3O)O)O)C(=O)O
279,CS(=O)(=O)N1C[C@@H]2C[C@H](C1)c1ccc(c(=O)n1C2)NC(=O)c1ccncc1
280,c1ccc(cc1)S[C@@H]1[C@H]([C@@H]([C@H]2CO[C@@H]1O2)[NH2+]Cc1ccc2c(c1)OCO2)O
281,C(CC(CC(CCc1ccc(c(c1)O)O)OC1C(C(C(CO1)O)O)O)O)c1ccc(c(c1)O)O
282,c12c3c(C(=O)OC[C@@H]4[C@@H](OC(=O)c1cc(c(c2O)O)O)[C@@H]([C@H]([C@@H](O4)OC(=O)c1cc(c(c(c1)O)Oc1c(cc(c(c1O)O)O)C(=O)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O)cc(c(c3O)O)O
283,CC1CCC2(CCC3(C)C(=CC(C4C5(C)CCC(C(C)(C)C5CCC34C)O)OO)C2C1C)C(=O)O
284,c1(c(ccc(c1)CC[C@H](C[C@@H](CCc1ccc(c(c1)O)O)O)O[C@@H]1O[C@H]([C@H]([C@@H]([C@@H]1O)O)O)CO)O)OC
285,CC(=CC(=O)OC1CC(C)(C2C=CC(C)(C2C2C1C(C)(C(=O)O2)OC(=O)C)O)OC(=O)C)C
286,[C@@H]1(c2c(C[C@H]([C@@H]1CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@](CO1)(CO)O)O)CO)cc(c(c2OC)O)OC)c1cc(c(c(c1)OC)O)OC
287,C/C=C(\CO)/C(=O)OC/C(=C\CO)/C(=O)OC1CC2(C)C(CC=C(C)C2C2C1C(=C)C(=O)O2)O
288,c1(c(c(c(c(c1)CC=C(C)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)CC=C(C)C)[C@H](OC(=O)C[C@@](CC(=O)OC)(O)C)C(=O)O
289,c1ccc(cc1)P(=O)(COP(=O)(c1ccccc1)c1ccccc1)c1ccccc1
290,c1ccc(cc1)COc1ccccc1C=Nn1c(=N)nn[nH]1
291,[C@H]1([C@H]([C@@H](O[C@@H]([C@H]1O)CO)OC(=O)c1cc(c(c(c1)O)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O
292,CC(=CCCC(C)(C1CCC2(C)C1C(CC1C(C)(CCC(=O)OC)C(CCC21C)C(=C)C)OC1C(C(C(CO1)O)O)O)O)C
293,C(Cc1ccc2c(c1)C(CO)C(c1ccc(cc1)OC1C(C(C(C(CO)O1)O)O)O)O2)CO
294,c12c(=O)c(c(oc1cc(cc2O)O)c1cc(c(cc1)O)O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)O)O)O)CO
295,c1ccc(c(c1)/C=C\1/C(=O)c2ccc(cc2O1)O)OC(F)F
296,CC(=O)Oc1c2c(C(=O)C(=C(C2=O)OC(=O)C)OC(=O)C)c(c(c1OC(=O)C)OC(=O)C)OC(=O)C
297,CC(C)c1c2c(cc(=O)o1)C1(C)C(CCC3(C)C1C(C2O)OC3=O)OC1C(C(C(C(CO)O1)O)O)O
298,Cc1c(c(=O)c2ccc3c(c2o1)CN(CO3)Cc1cccnc1)c1ccc(cc1)Cl
299,[C@]12([C@@]([C@H](CC2)[C@@H](CCC=C(CO)CO)C)(C[C@H]([C@@]2([C@H]1CC=C1[C@H]2CC[C@@H](C1(C)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C)O)C)C
300,c1(c(c(=O)c2c(o1)cc(cc2O)O)O[C@H]1[C@@H]([C@H]([C@H](CO1)O)OC(=O)C)O)c1cc(c(c(c1)O)O)O
301,c12c3c(c4c(cc(c(c4O)O)O)C(=O)O)c(c(c2oc(=O)c2c1c(oc3=O)c(c(c2)O)O)O)O
