,SMILES
31,[C@]123[C@](O2)(C(=O)O[C@@H]3/C=C(\[C@@H]([C@H]([C@H]([C@]2([C@H]([C@H]1OC(=O)C)[C@@H]([C@@H](C[C@H]2OC(=O)C)O)C)C)O)OC(=O)C)OC(=O)CCC)/C)C
32,Cc1c(c(on1)C)COc1ccc(cc1)C(=O)N[C@@H]1CN(CCC[C@H]1O)C(=O)Nc1ccccc1
33,CC(C)CC(C(=NC(C(CCCN)O)C(=NC1C(C(C)C)Oc2ccc(cc2CC(C(=O)O)N=C(/C(=C/Cl)/N=C1O)O)O)O)O)N=C(C(O)O)O
34,[C@]123[C@@](O1)(C(=O)[C@@H]([C@@H]([C@@H]1[C@H]([C@@H]([C@@H](/C(=C/3)/C)O)OC(=O)/C(=C/C)/C)C1(C)C)OC(=O)C)C)C[C@@H]([C@@H]2OC(=O)/C(=C/C)/C)C
35,[C@@H]12OC(=O)c3c(c4c(C(=O)OC[C@@H](O[C@@H]([C@H]1O)OC(=O)c1cc(c(c(c1)O)O)O)[C@H]2O)cc(c(c4O)O)O)c(c(Oc1c(cc(c(c1O)O)O)C(=O)O)c(c3)O)O
36,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)O)(C)C)C)CC=C1[C@@H]1[C@@](CC2)(CC[C@@](C1)(C(=O)OC)C)C(=O)O)C)C
37,C1(=O)C(=C)[C@H]2[C@@H](O1)/C=C(\[C@@H](C/C=C(/C[C@H]2OC(=O)/C(=C/CO)/COC(=O)/C(=C/C)/CO)\C)O)/C
38,[C@]12([C@@]([C@H]([C@@H](C2)O)[C@](C(=O)CCC(O)(C)C)(O)C)(CC[C@]2([C@H]1CC=C1[C@@H]2C[C@H]([C@H](C1(C)C)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C)C)C
39,CCS(=O)(=O)N1CCC(CC1)C(=O)Nc1c2c(c(c3c1OCO3)OC)C[N@@H+](CC2)C
40,CC(=O)OCc1c(ccc2c1O/C(=C\c1ccccc1F)/C2=O)OC(=O)C
41,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@@H](CC4)OC(=O)/C=C/c3cc(c(cc3)O)O)(C)C)C)CC=C1[C@H]1[C@@](CC2)(CC[C@@](C1)(C(=O)O)C)C)C)C
42,CC(C)CCCC(C)CCCC(C)CCC/C(=C/CC1=C(C)C(=O)C(=C(C1=O)OC)OC)/C
43,CCc1cc2c(cc1OC(=O)c1cccs1)occ(c2=O)c1ccc2c(c1)OCCO2
44,CC(C1=CC2(C=CC3C(=COC(C23)OC2C(C(C(C(CO)O2)O)O)O)C(=O)OC)OC1=O)OC(=O)/C=C/c1ccc(cc1)OC
45,CC(=CC1CC(C2CC=C3C2(C)CCC2C3(C)C(CC3C(C)(C)OC(=O)CC(C23C)OC(=O)C)O)C(OC)O1)C
46,[C@@]12([C@@]3([C@H](OC2=O)[C@@H](CO3)O)O[C@H]([C@H]1c1c2[C@H]([C@@H](Oc2cc(c1)O)c1ccc(cc1)O)c1cc(cc(c1)O)O)c1ccc(cc1)O)O
47,[C@H]12[C@]([C@@H](C[C@@H]3[C@]([C@@H](C(=C)CC3)CC/C(=C/COC=O)/C)(C(=O)O)C)C(=C)CC2)(CC[C@@H](C1(C)C)O)C
48,[C@H]1([C@H](Oc2c(O1)cc(cc2)CCCO[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)c1ccc(c(c1)OC)O)CO
49,[C@@]1([C@H]([C@@H](OC1)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)Oc1ccc(cc1)CCCC[C@H](CCc1ccc(cc1)O)O)O)O)O)O)(CO)O
50,CC(C)C(=C)CCC(C1C(CC2(C)C3=CCC4C(C)(CCC(C4(C)CO)O)C3=CCC12C)O)C(=O)O
51,C(C[C@]1([C@H](C(=C)C)CC[C@@]2([C@@H]1CC[C@H]1[C@]2(CC[C@@H]1[C@@](C/C=C/[C@](C)(CO)O)(C)O)C)C)C)C(=O)O
52,C[C@H](CC[C@@H]1C=C[C@]2(C[C@H]([C@@H]3[C@@]1([C@]2(CCC1=CC(=O)OC1)O)[C@@H](CCC3(C)C)O)OC(=O)C)C)CCC(C)C
53,[C@H]1([C@H]([C@@H]([C@H](O[C@H]1O)COC(=O)c1cc(c(c(c1)O)O)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O
54,[C@]12([C@@H]([C@@H]3[C@@]4([C@H]([C@H]([C@H](O4)[C@@H](C([C@@H](C[C@H]2OC(=O)C)OC(=O)C)(C)C)OC(=O)C)C)OC(=O)c2ccccc2)C[C@@H]([C@@H]3OC(=O)c2ccccc2)C)O1)C
55,Cc1cccc(C)c1OCC(=NN=C1c2cc(ccc2NC1=O)Br)O
56,c12c(oc(c(c1=O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)c1ccc(cc1)O)cc(c(c2O)OC)O
57,C(=C\CCO)/C=C/C1c2c(cc3cc(CO)sc3c2C(=O)O1)O
58,[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)O)(C)C)C)[C@H]1[C@@]([C@@H](C3)O)([C@H](CC(C1)(C)C)O)COC(=O)/C=C/c1ccccc1)C)C
59,CCOC(=O)C(=O)c1c2ccc(cc2n2ccc3c4ccccc4[nH]c3c12)Br
60,[C@H]1([C@H]([C@@H]([C@H]([C@@H](O1)CO)O)O)O)OC([C@H]1C[C@@H]2[C@@](C[C@@H](O[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O)CC2=C)(CC1)C)(C)C
61,[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)[C@@]([C@H](CC1)O)(C(=O)O)C)C)[C@H]1[C@@](CC3)(CC[C@](C1)(C(=O)OC)C)C)C)C
62,c1cc(c(cc1CCCC[C@H](CCc1ccc(c(c1)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O
63,c12c3c4c(c(cc3c(=O)oc1c(c(cc2c(=O)o4)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)OC)O)O
64,CC(C)CCCC(C)CCCC(C)CCCC(C)CCOCC(COC1C(C(C(C(COC2C(C(C(C(CO)O)O2)O)O)O)O1)O)O)OCCC(C)CCCC(C)CCCC(C)CCCC(C)C
65,CC(CCC(C(C)(C)O)O)C1C(CC2(C)C3CC(=O)C4C(C)(C)C(CC(C54CC35CCC12C)O)OC1C(C(C(C(CO)O1)O)O)O)O
66,C=C(C)C1CCC2(CCC3(C)C(CCC4C5(C)CC(C(C(C)(C)C5CCC34C)OC(=O)/C=C/c3ccc(c(c3)O)O)O)C12)CO
67,COc1cc(cc2c1c(=O)c(c(c1ccc(c(c1)O)O)o2)OC1C(C(C(C(C(=O)O)O1)O)O)O)O
68,CC(CC(=O)C(=C)C(C)CO)C1C(CC2(C)C3CCC4C(C)(C(CCC54CC35CCC12C)O)C(=O)O)OC(=O)C
69,C/C=C(\C)/C(=O)OC1CC(C)(C23C=CC(C)(C3C3C1C(=C)C(=O)O3)C1(C2)C2C(CC(C)(C34C=CC(C)(C3C2OC1=O)OO4)O)OC(=O)/C(=C/C)/C)O
70,[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H]2[C@@H](C1)OCO2)(C)C)C)[C@H]1[C@](CC3)(C(=O)O)CC[C@H]([C@]1(O)C)C)C)C
71,COc1ccccc1/C=C/C=C\1/C(=O)c2ccc(cc2O1)OS(=O)(=O)c1ccccc1
72,CC(=O)OC1CC2(CCC3(C)C(=CCC4C5(C)CCC(=O)C(C)(C)C5CCC34C)C2CC1(C)C)C(=O)O
73,c1cc(cc(c1)NC(=O)Nc1cccc(c1)C(=[NH2+])N)C(=[NH2+])N
74,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H]([C@H]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)C)O)O)COC(=O)C)OC(=O)C)OC(=O)C)C)OC(=O)C)OC(=O)C
75,CC(C)CC1CC(=O)OC2C(/C(=C/Cc3ccc(C4=NC(/C=C\5/C(=C(\C)/CCCO)/COC5CC(C)C)C(COC1=O)O4)[nH]3)/C)OC(=O)C2(C)CO
76,CC(C)Cc1cccc(c1)[C@H]1CC[C@@H]2[C@]3([C@@H]1CNC(=[NH+]3)N)CCCC1=C3C[C@H]4C[C@@H]([C@H]([C@@]3([C@]4(CCSS2)C)CC1=O)CCCO)CO
77,CCCC(=O)OC1CC2(C)C(C3C4(C(C5C(C)C(CC(C5(C)C1OC(=O)C)OC(=O)C)O)OC(=O)C)C(C)(C(=O)O3)O4)O2
78,COc1cccc(c1OC)/C=C\1/C(=O)c2ccc(cc2O1)OCC(=O)c1ccc(cc1)Br
79,c1cc(cnc1)CNC(=O)[C@@H]1C[C@H]([C@@H]([C@H]2[C@@H]1N(C(=S)N2)c1ccc(cc1)Cl)O)O
80,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H]([C@@H](C4)O)O)(CO)C)C)[C@@H](C=C1[C@@H]1[C@](CC2)(C(=O)O)CC[C@H]([C@@H]1C)C)OC)C)C
81,c1(c(oc2c(c1=O)c(cc(c2)O)O)c1ccc(cc1)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)OC(=O)/C=C/c1ccc(cc1)O)O
82,c1c(cc(c(c1O)O)O)C(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC(=O)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O)O)O
83,[C@@]123[C@@]([C@H]([C@H](C[C@@]2(O)C)OC(=O)c2ccccc2)OC(=O)c2ccccc2)([C@H](C[C@H]([C@H]1OC(=O)C)C(O3)(C)C)OC(=O)C)COC(=O)C
84,c12c(O[C@H]([C@H]1CO)c1cc(c(cc1)O)OC)c(cc(c2)C[C@@H]1[C@H](Cc2cc3c(c(c2)OC)O[C@@H]([C@@H]3CO)c2cc(c(cc2)O)OC)COC1=O)OC
85,C[C@@H]([C@H](C(=O)O)/N=C\1/CC(CC(=C1OC)NCC(=O)O)(CO)O)O
86,c12c3c(C(=O)O[C@@H]4[C@@H](COC(=O)c1cc(c(c2O)Oc1c(cc(c(c1O)O)O)C(=O)O)O)O[C@@H]([C@H]1[C@H]4OC(=O)c2c(c4c(C(=O)O1)cc(c(c4O)O)O)c(c(c(c2)O)O)O)O)cc(c(c3O)O)O
87,C=C(C)C1CCC(C2CCC3(C)C4CCC5C(C)(C(CC(C65CC46CCC23C)O)O)C(=O)O)C(OC)O1
88,c1c2c(c3c(cc(c(c3O)O)O)C(=O)OC3C(C(C(C(CO)O3)O)OC2=O)O)c(c(c1O)O)O
89,Cc1cc(c(cc1C)N[C@@H]1[C@H]([C@@H]([C@@H](O1)[C@@H](CO)O)O)O)N[C@@H]1[C@@H]([C@H]([C@H](O1)[C@@H](CO)O)O)O
90,[C@]123[C@](O2)(C(=O)O[C@@H]3/C=C(\[C@@H]([C@H]([C@H]([C@]2([C@H]([C@H]1OC(=O)C)[C@@H]([C@@H](C[C@H]2OC(=O)C)O)C)C)OC(=O)C)O)OC(=O)CCC)/C)C
91,c1ccc2c(c1)[C@]1([C@H]3[C@@H]([C@@H](N1)CC(=O)N)C(=O)N(C3=O)c1ccc(cc1)Br)C(=O)N2
92,CC(C)CCCC(C)CCCC(C)CCCC(C)CCOCC(COC1C(C(C(C(CO)O1)O)O)OC1C(C(C(C(CO)O1)O)O)O)OCCC(C)CCCC(C)CCCC(C)CCCC(C)C
