RT,BPI,TIC,Species,Parts
1.665,20560,109276,Alnus_firma,barks
1.704,15011,87819,Alnus_firma,barks
1.738,4514,62142,Alnus_firma,barks
1.761,1945,50428,Alnus_firma,barks
1.791,1544,69912,Alnus_firma,barks
1.804,1610,54777,Alnus_firma,barks
1.817,1347,58526,Alnus_firma,barks
1.821,1940,69635,Alnus_firma,barks
1.834,988,60960,Alnus_firma,barks
1.838,1863,66386,Alnus_firma,barks
1.851,1812,60903,Alnus_firma,barks
1.865,1222,60530,Alnus_firma,barks
1.868,1645,63367,Alnus_firma,barks
1.882,1276,58834,Alnus_firma,barks
1.891,1797,70033,Alnus_firma,barks
1.905,1268,58343,Alnus_firma,barks
1.908,1324,65017,Alnus_firma,barks
1.912,1480,65208,Alnus_firma,barks
1.915,1097,64527,Alnus_firma,barks
1.919,1348,66990,Alnus_firma,barks
1.922,1631,67891,Alnus_firma,barks
1.946,2253,65152,Alnus_firma,barks
1.969,2864,60545,Alnus_firma,barks
1.983,2874,62362,Alnus_firma,barks
2.002,1631,61268,Alnus_firma,barks
2.015,2715,66083,Alnus_firma,barks
2.029,5045,71165,Alnus_firma,barks
2.053,3714,80076,Alnus_firma,barks
2.092,11382,100059,Alnus_firma,barks
2.126,5008,73322,Alnus_firma,barks
2.139,2937,64770,Alnus_firma,barks
2.152,1274,58600,Alnus_firma,barks
2.156,1880,69159,Alnus_firma,barks
2.169,1311,64882,Alnus_firma,barks
2.173,1822,67338,Alnus_firma,barks
2.192,2571,71455,Alnus_firma,barks
2.226,2298,74462,Alnus_firma,barks
2.249,1599,67288,Alnus_firma,barks
2.263,1239,63177,Alnus_firma,barks
2.266,1244,67277,Alnus_firma,barks
2.27,1324,69016,Alnus_firma,barks
2.273,854,69259,Alnus_firma,barks
2.283,1769,76044,Alnus_firma,barks
2.306,2505,68933,Alnus_firma,barks
2.32,2805,69978,Alnus_firma,barks
2.333,2400,75010,Alnus_firma,barks
2.347,2202,72709,Alnus_firma,barks
2.37,2123,75304,Alnus_firma,barks
2.39,2745,69294,Alnus_firma,barks
2.403,2466,73830,Alnus_firma,barks
2.427,4159,76627,Alnus_firma,barks
2.45,1288,68161,Alnus_firma,barks
2.454,1472,74347,Alnus_firma,barks
2.457,1328,72347,Alnus_firma,barks
2.461,1235,75040,Alnus_firma,barks
2.464,1599,77895,Alnus_firma,barks
2.483,4683,71731,Alnus_firma,barks
2.497,6247,87314,Alnus_firma,barks
2.511,4588,82497,Alnus_firma,barks
2.524,2648,74777,Alnus_firma,barks
2.538,1402,69574,Alnus_firma,barks
2.541,1620,76655,Alnus_firma,barks
2.555,1754,66800,Alnus_firma,barks
2.568,1423,69657,Alnus_firma,barks
2.578,1258,87206,Alnus_firma,barks
2.581,1238,75110,Alnus_firma,barks
2.585,1518,78729,Alnus_firma,barks
2.598,1102,77740,Alnus_firma,barks
2.602,1616,86445,Alnus_firma,barks
2.625,1515,84597,Alnus_firma,barks
2.639,2780,95390,Alnus_firma,barks
2.662,3801,98884,Alnus_firma,barks
2.702,2111,93697,Alnus_firma,barks
2.735,4152,88445,Alnus_firma,barks
2.749,2020,84200,Alnus_firma,barks
2.778,2076,98000,Alnus_firma,barks
2.791,1490,91404,Alnus_firma,barks
2.795,1457,100191,Alnus_firma,barks
2.799,1362,98114,Alnus_firma,barks
2.802,958,97890,Alnus_firma,barks
2.806,1878,94404,Alnus_firma,barks
2.819,1755,84254,Alnus_firma,barks
2.833,1569,86192,Alnus_firma,barks
2.846,1600,89693,Alnus_firma,barks
2.86,1228,96088,Alnus_firma,barks
2.863,1233,102060,Alnus_firma,barks
2.873,3137,134721,Alnus_firma,barks
2.896,13346,163043,Alnus_firma,barks
2.93,7024,158820,Alnus_firma,barks
2.97,3883,142325,Alnus_firma,barks
3.003,3752,152045,Alnus_firma,barks
3.037,3829,130775,Alnus_firma,barks
3.066,3177,144616,Alnus_firma,barks
3.09,11372,173416,Alnus_firma,barks
3.123,4442,146955,Alnus_firma,barks
3.163,4052,151972,Alnus_firma,barks
3.197,28347,231190,Alnus_firma,barks
3.23,25148,189340,Alnus_firma,barks
3.27,3309,136638,Alnus_firma,barks
3.283,1537,141694,Alnus_firma,barks
3.307,4170,169530,Alnus_firma,barks
3.331,2525,149096,Alnus_firma,barks
3.35,1538,123521,Alnus_firma,barks
3.364,1601,140716,Alnus_firma,barks
3.377,1497,135602,Alnus_firma,barks
3.381,1490,148611,Alnus_firma,barks
3.384,1596,145789,Alnus_firma,barks
3.398,1416,140813,Alnus_firma,barks
3.402,2499,157191,Alnus_firma,barks
3.415,3958,146903,Alnus_firma,barks
3.429,3773,146717,Alnus_firma,barks
3.458,4772,188629,Alnus_firma,barks
3.492,27946,304667,Alnus_firma,barks
3.526,14303,231508,Alnus_firma,barks
3.566,3245,152313,Alnus_firma,barks
3.59,2267,157702,Alnus_firma,barks
3.623,1643,136816,Alnus_firma,barks
3.643,2527,148315,Alnus_firma,barks
3.656,5645,137993,Alnus_firma,barks
3.67,7576,136496,Alnus_firma,barks
3.683,5630,158126,Alnus_firma,barks
3.707,2489,150815,Alnus_firma,barks
3.746,3788,152421,Alnus_firma,barks
3.77,4319,150083,Alnus_firma,barks
3.783,3156,142604,Alnus_firma,barks
3.797,1588,140237,Alnus_firma,barks
3.811,1808,151584,Alnus_firma,barks
3.84,2898,154759,Alnus_firma,barks
3.864,2015,152763,Alnus_firma,barks
3.877,1657,145495,Alnus_firma,barks
3.891,1444,138400,Alnus_firma,barks
3.895,1567,156660,Alnus_firma,barks
3.908,2152,144764,Alnus_firma,barks
3.928,2656,150439,Alnus_firma,barks
3.951,2214,137134,Alnus_firma,barks
3.965,1372,147620,Alnus_firma,barks
3.968,1776,167868,Alnus_firma,barks
3.982,1382,161065,Alnus_firma,barks
3.986,1214,172106,Alnus_firma,barks
3.989,1846,173697,Alnus_firma,barks
4.003,1519,153038,Alnus_firma,barks
4.017,1356,150164,Alnus_firma,barks
4.026,1838,189153,Alnus_firma,barks
4.04,1387,146343,Alnus_firma,barks
4.043,1595,155356,Alnus_firma,barks
4.057,1738,142514,Alnus_firma,barks
4.07,1751,140036,Alnus_firma,barks
4.094,3083,151785,Alnus_firma,barks
4.108,2688,139355,Alnus_firma,barks
4.137,1543,139867,Alnus_firma,barks
4.151,1294,135150,Alnus_firma,barks
4.154,1573,149438,Alnus_firma,barks
4.168,1681,136353,Alnus_firma,barks
4.192,3171,134896,Alnus_firma,barks
4.205,1889,121864,Alnus_firma,barks
4.225,1552,135543,Alnus_firma,barks
4.238,1246,139146,Alnus_firma,barks
4.242,1696,157804,Alnus_firma,barks
4.255,1498,141761,Alnus_firma,barks
4.259,1809,164959,Alnus_firma,barks
4.273,1508,145426,Alnus_firma,barks
4.286,1596,135750,Alnus_firma,barks
4.3,1388,137819,Alnus_firma,barks
4.304,2054,157984,Alnus_firma,barks
4.333,1603,135242,Alnus_firma,barks
4.347,1617,131450,Alnus_firma,barks
4.36,1357,132420,Alnus_firma,barks
4.364,1445,143500,Alnus_firma,barks
4.367,1786,144248,Alnus_firma,barks
4.391,5105,149262,Alnus_firma,barks
4.43,2926,136479,Alnus_firma,barks
4.454,1390,125897,Alnus_firma,barks
4.458,1714,148944,Alnus_firma,barks
4.471,2787,133518,Alnus_firma,barks
